"post_date","post_content","post_title","post_name","guid"
"11/11/2014 22:27:12","Starting with Rails, ive noticed that the migrations dont create foreign keys in a InnoDB setting voor MySql. So i did some research.

For some reason Rails doesnt pay to much attention to the foreign keys, this because ActiveRecord is an excelent ORM and doens't need to be monitored by constraints in the DB itself. That being said.... i want it.

So i found a nice litte gem that fixes this for you.

Take a look!

EDIT: This Gem has been included in Rails 4.2.0 YaY!!","Gem - Foreigner ( foreign keys to migrations )","foreigner","http://www.weteling.com/wp/wp-content/uploads/2014/11/Art10_2.jpg"
"12/11/2014 21:40:52","The myth that Rails is slow, this is maybe one of the biggest misassumptions that have steered me away from rails for over 4 years. Really hating that discussion at the moment.

I really don't find this to be the case, in fact i find it to be quite fast. The definition about speed in almost all benchmarks don't apply for default web development if you ask me.

Yes rails is slow if your crunching big-data, Yes rails is slow if your doing 1000 thins before showing user content.....
<em>
<strong>BUT THATS NOT WEBDEVELOPEMT!!!</strong></em>

Web development usually implements the MVC principle in this order. The Actor ( you at your computer ) opens a webpage. The system asks what data from the models ( database ) in the controller the data is ordered, or some simple CRUD actions, than the data is passed to the View what will return the HTML in most cases, than the Controller returns the HTML with the appropriate headers.

<strong>This is 95% of all webpages on the web. </strong>

So why would i want to boot up a big framework in PHP ( lets take Laravel 4.2 )  that takes about 60 to 30ms ( depending on your config and server ) and than run a ""faster"" script for 2ms, giving me a total of 32ms??

Doing the actions as described above in Rails 4.1 gave me responses within 12ms. And its not even tuned yet. So if you have application code that in ruby takes maybe 15% longer, its still a heck of allot faster than booting a big PHP framework.

Further more the development time is a heck of allot shorter in Rails compared to whatever. Rails programmers tend to write test, have code that is robust etc.

I wish i knew this 4 year ago.","Rails is slow?","rails-is-slow","http://www.weteling.com/wp/wp-content/uploads/2014/12/formation-ruby1.png"
"12/20/2014 13:36:54","A web consultancy who know how to get things done, they have bundled all there knowledge into a playbook, a manual for new employees. Really insightful!

http://playbook.thoughtbot.com/","Toughtbot","toughtbot","http://www.weteling.com/wp/wp-content/uploads/2014/12/Screen-Shot-2015-02-01-at-11.15.55.png"
"12/20/2014 13:37:28","Still need to play with: https://greensock.com/","Greensock","greensock","http://www.weteling.com/wp/wp-content/uploads/2014/12/Screen-Shot-2015-02-01-at-11.13.38.png"
"12/20/2014 13:38:46","Middle man is a rapid prototype lib ( for as far as i know ) that seems to be super for rails projects. Need to tinker with this one to!

http://middlemanapp.com/","Find out how middleman can help me","find-out-how-middleman-can-help-me","http://www.weteling.com/wp/wp-content/uploads/2014/12/Screen-Shot-2015-02-01-at-11.14.40.png"
"01/06/2015 17:01:42","https://handbrake.fr/","handbrake video conversion","handbrake-video-conversion","http://www.weteling.com/wp/wp-content/uploads/2015/01/handbrake.png"
"02/01/2015 10:56:06","So i wanted to play with Ansible for a while now. Ansible is a pretty neat way to configure servers in a idempotent way. You create a DSL called a Playbook in YAML, this playbook can contain roles for certain parts that you want to implement ( lets say a nginx role ) this role will install nginx, put the correct files in the sites-available and create symlinks in the sites-enabled dir. The realy cool thing about Ansible, is that its idempotent. So you can run your playbook again and again without braking stuff on the server.

http://www.ansible.com/

This really changed the way i configure servers, now i NEVER change something on my server by hand ( only when troubleshooting on a vagrant box to test ansible maybe ). You only change the playbook and run it again! Searching for the right commands is something from the past, ""weird scheit"" on the server is also a thing of the past. And here comes the fun part. You can run the Playbook over N servers at the same time, updating / installing whatever on a complete cluster. LOVING THIS. And maybe the best part.... for developers you can create an exact replica of your production environment on your mac, by running the playbook against a Vagrant box.

This site now runs on a server that's provisioned with Ansible. The backup's of the hoster are turned off... why? The whole server was up and running in 2 minutes thanks to the sheer speed of Ansible. And my server backups my DB and files to a S3 bucket every night. So my backups are now even hosting independent and on a redundant cluster. Cant get any better right?","Ansible","ansible","http://www.weteling.com/wp/wp-content/uploads/2015/01/AnsibleLogo_transparent_web.png"
"02/01/2015 11:33:32","So i was fed-up with the the performance of my shared hosting provider and decided to fix a VPS at Digitalocean. As you could have read I've started to play with Ansible. And i thought, what would be the fasted possible way to run a WordPress installation. So i started digging, and found out that HHVM now supports WordPress!! YaY!!

So i created an Ansible role to install HHVM on my VPS, without any bit irritations of config troubles i got it to work. And how blazing fast it goes. The only problem with HHVM is that its a JIT Compiler ( just in time ) meaning the full power of HHVM is whiteness'ed not in the first request but in the request's after that. Although the first page request is still faster than php-fpm running @ php5.6, same goes for my hhvm btw, running on php 5.6.

And i must say its an absolute joy to be working with Wordpress again. Ive always liked the interface and the simple way its set up. Only the speed. It was such a slow annoying cms! It really took the fun out. But now! Now my first rendered pages load in 80 ms, the second time it drops to about 60 ms and with cashing.... well with cashing im able to get the home page from the server in 12 ms. Thats insanely fast!

Giving that nobody reads my blog ( yet ) and the server has enterprise SSD disks and probably all code is run out of memory. Its still freaking fast! Also the data centre ( Digitalocean amsterdam 3 ) is pretty fast. That also helps!

So overall im pretty pleased! Next step in optimizing Wordpress would be a MongoDB adapter i guess. But the WP backend is not that keen on Mongo i think.","HipHop VM","hiphop-vm","http://www.weteling.com/wp/wp-content/uploads/2015/02/10015657_10152273125169326_256717046_n.png"
"03/05/2015 08:17:18","Just replace RENE with your preference!

And yeah... its set to the english language, so if you need it in mongolian, change the en(glish) :)

find -E /Applications/Xcode.app -iregex '.*/en(glish)?.lproj/SpringBoard.strings' -exec sudo /usr/libexec/PlistBuddy -c 'Set :SIMULATOR_CARRIER_STRING RENE' {} \;","Change your carriername in the iOS simulator","change-your-carriername-in-the-ios-simulator","http://www.weteling.com/wp/wp-content/uploads/2015/03/carrier1.jpg"
"04/08/2015 20:29:05","Just some basic principles that every MVC using programmers should master. STI, Single table inheritance. I have been working on a large Laravel 4.2 project and as fighting with my user model. They contained functions that are for master users and also for slave users. Why should a slave model have a function, whipSlave ... thats just not logical.

So i remembered a principle from my Doctrine years, and rediscovered it in my late Rails adventures. And that is STI. Its such a treat! Only its not available in Laravel 4. So with some small adjustments ive inserted this functionality in Eloquent ( Laravel's orm ) its quite simple actually just overwrite your baseModels

<a href=""http://www.weteling.com/wp/wp-content/uploads/2015/04/Screen-Shot-2015-04-08-at-17.40.04.png""><img class=""alignnone size-full wp-image-260"" src=""http://www.weteling.com/wp/wp-content/uploads/2015/04/Screen-Shot-2015-04-08-at-17.40.04.png"" alt=""Screen Shot 2015-04-08 at 17.40.04"" width=""698"" height=""211"" /></a>

than just make sure your model has a model field, you can set the default ones though the private $attributes array.

now the next time you want to fetch user#2 wich is a slave get_class( User::find(1)  ) will return ""slave""

Nice one!","Single Table Inheritance ( STI )","single-table-inheritance-sti","http://www.weteling.com/wp/wp-content/uploads/2015/04/single-inheritance.png"
